age,education-num,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country
24,7.0,40, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Female, Germany
45,15.0,40, Local-gov, Prof-school, Divorced, Prof-specialty, Unmarried, Black, Female, United-States
22,13.0,40, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States
41,10.0,40, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States
50,4.0,65, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male, Canada
29,9.0,44, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States
28,13.0,50, Local-gov, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male, United-States
32,7.0,43, Private, 11th, Divorced, Sales, Not-in-family, White, Male, United-States
32,11.0,45, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male, United-States
27,5.0,24, Private, 9th, Never-married, Priv-house-serv, Unmarried, White, Female, Mexico
29,5.0,40, Private, 9th, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States
34,12.0,28, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States
30,10.0,40, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female, United-States
26,3.0,50, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
40,9.0,40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States
45,9.0,40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States
54,13.0,45, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female, United-States
25,9.0,40, State-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States
67,9.0,24, Local-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States
18,8.0,55, Private, 12th, Never-married, Farming-fishing, Own-child, White, Male, United-States
66,6.0,20,, 10th, Divorced,, Not-in-family, White, Female, United-States
55,9.0,40, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Female, United-States
47,10.0,40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
31,9.0,40, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States
30,4.0,42, Private, 7th-8th, Never-married, Machine-op-inspct, Unmarried, White, Male, United-States
27,12.0,25, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States
40,14.0,40, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States
32,6.0,40, Private, 10th, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States
39,12.0,40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States
41,11.0,12,, Assoc-voc, Married-civ-spouse,, Husband, White, Male, United-States
36,13.0,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
27,10.0,25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female, United-States
46,12.0,40, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
48,9.0,84, Self-emp-inc, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,
73,9.0,37, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Female, United-States
37,10.0,40, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,
49,9.0,42, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male, United-States
33,4.0,40, Private, 7th-8th, Never-married, Farming-fishing, Not-in-family, White, Male, Mexico
66,12.0,30, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male, Hungary
69,2.0,4, Private, 1st-4th, Widowed, Priv-house-serv, Not-in-family, Black, Female, United-States
45,10.0,80, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female, United-States
31,7.0,65, Private, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male, Mexico
38,13.0,30, State-gov, Bachelors, Married-civ-spouse,, Wife, Black, Female, United-States
26,12.0,40, Private, Assoc-acdm, Never-married, Exec-managerial, Own-child, Black, Female, United-States
17,7.0,15, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male, United-States
63,7.0,30, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male, United-States
30,10.0,40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States
23,13.0,32, Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States
33,10.0,41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
38,11.0,40, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, United-States
51,9.0,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States
56,6.0,70, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,
19,10.0,20, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States
27,13.0,40, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States
24,9.0,38, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States
32,10.0,55, Private, Some-college, Never-married, Machine-op-inspct, Other-relative, White, Male, Ecuador
38,13.0,40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States
24,4.0,40, Private, 7th-8th, Never-married, Sales, Own-child, White, Male, United-States
42,13.0,40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
38,10.0,43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
25,13.0,45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
23,9.0,40, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States
34,9.0,60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
34,10.0,48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
44,13.0,40, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female, United-States
46,10.0,40, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
50,10.0,38, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States
45,4.0,35, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States
25,14.0,40, Local-gov, Masters, Never-married, Protective-serv, Not-in-family, White, Male, United-States
30,10.0,30, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States
29,9.0,40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
50,9.0,32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States
27,15.0,50, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States
70,9.0,40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States
23,10.0,25, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female, United-States
30,9.0,35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States
38,13.0,50, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
23,10.0,30, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male, United-States
35,13.0,40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Philippines
24,,32, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States
29,9.0,40, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States
55,7.0,20, Private, 11th, Divorced, Sales, Own-child, White, Female, United-States
31,10.0,25, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female, United-States
33,13.0,40, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female, United-States
41,13.0,40, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male, United-States
25,13.0,40, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female, United-States
41,15.0,50, Private, Prof-school, Married-civ-spouse, Exec-managerial, Wife, White, Female, Japan
31,9.0,40, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male, United-States
39,16.0,55, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
43,9.0,40, Private, HS-grad, Separated, Other-service, Not-in-family, Black, Female, United-States
36,9.0,40, Local-gov, HS-grad, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Male, United-States
55,16.0,40, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male, England
51,13.0,40, Federal-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States
44,16.0,60, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
48,10.0,45, Self-emp-inc, Some-college, Divorced, Farming-fishing, Not-in-family, White, Male, United-States
33,5.0,45, Private, 9th, Never-married, Other-service, Not-in-family, White, Male, El-Salvador
21,9.0,20, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States
44,15.0,80, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
56,9.0,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States
74,9.0,40, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female, United-States
40,9.0,40, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States
40,12.0,40, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
30,12.0,40, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, Black, Male, United-States
24,10.0,24, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female, Mexico
49,7.0,40, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
40,10.0,40, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male, United-States
41,13.0,40, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male, United-States
21,10.0,40, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male, Guatemala
34,13.0,30, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States
59,9.0,40, Private, HS-grad, Widowed, Priv-house-serv, Not-in-family, White, Female, United-States
22,9.0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
59,9.0,30, Private, HS-grad, Divorced, Sales, Unmarried, White, Female, United-States
19,9.0,40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States
26,13.0,40, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male, United-States
21,5.0,20, Private, 9th, Never-married, Machine-op-inspct, Own-child, Black, Male, United-States
26,9.0,50, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States
42,4.0,40, Private, 7th-8th, Divorced, Sales, Not-in-family, White, Female, United-States
24,10.0,40, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States
36,10.0,45, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States
54,9.0,25,, HS-grad, Divorced,, Not-in-family, White, Female, United-States
37,8.0,40, Private, 12th, Never-married, Other-service, Own-child, White, Female, United-States
49,16.0,50, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Other, Male, United-States
33,9.0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States
35,9.0,35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States
47,12.0,35, Private, Assoc-acdm, Widowed, Other-service, Own-child, White, Female, United-States
59,9.0,40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States
38,9.0,32, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male, United-States
34,10.0,45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
30,11.0,40, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
50,9.0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
50,2.0,40, Private, 1st-4th, Married-spouse-absent, Craft-repair, Unmarried, White, Male, United-States
48,7.0,60, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States
51,4.0,40, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States
25,13.0,40, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male, United-States
34,4.0,10, Self-emp-not-inc, 7th-8th, Never-married, Handlers-cleaners, Unmarried, Black, Male, United-States
33,9.0,20, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States
65,3.0,40, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, United-States
24,13.0,30, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
24,10.0,40, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States
62,13.0,20, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States
25,9.0,40, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States
19,10.0,30,, Some-college, Never-married,, Own-child, White, Male, United-States
25,10.0,45, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female, United-States
41,13.0,60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
46,10.0,40, Private, Some-college, Separated, Adm-clerical, Unmarried, White, Female, United-States
67,9.0,40,, HS-grad, Widowed,, Not-in-family, White, Female, United-States
34,13.0,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,
27,10.0,40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
40,14.0,38, State-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female, China
41,13.0,40, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States
71,9.0,40,, HS-grad, Married-civ-spouse,, Husband, White, Male, United-States
46,,40, Private, Assoc-voc, Married-spouse-absent,, Unmarried, White, Male, United-States
23,13.0,20, Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States
28,10.0,35, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States
25,6.0,40, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male, Mexico
49,11.0,40, Private, Assoc-voc, Divorced, Tech-support, Unmarried, White, Female, United-States
38,10.0,40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
22,9.0,40, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male, United-States
20,10.0,25, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female, United-States
29,12.0,45, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Male, United-States
47,10.0,80, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States
46,14.0,50, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
62,5.0,40, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
19,10.0,3, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States
36,14.0,40, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States
30,13.0,40, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India
37,5.0,30, Private, 9th, Never-married, Priv-house-serv, Not-in-family, White, Female, El-Salvador
52,13.0,50, Private, Bachelors, Married-spouse-absent, Other-service, Not-in-family, White, Male, United-States
49,7.0,60, Private, 11th, Never-married, Other-service, Not-in-family, White, Male, United-States
58,13.0,48, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States
19,7.0,40, Private, 11th, Never-married, Other-service, Own-child, White, Female, United-States
56,9.0,70, Self-emp-not-inc, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, United-States
17,7.0,40, Private, 11th, Never-married, Priv-house-serv, Own-child, White, Female, United-States
58,13.0,40, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female, United-States
58,15.0,40, Self-emp-inc, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States
37,11.0,40, Self-emp-not-inc, Assoc-voc, Never-married, Other-service, Own-child, White, Female, United-States
47,7.0,40, Private, 11th, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States
41,10.0,55, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States
51,10.0,40, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States
28,10.0,40, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, El-Salvador
36,9.0,45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
42,9.0,40, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female, United-States
47,8.0,40, Private, 12th, Never-married, Adm-clerical, Other-relative, Black, Female, United-States
43,11.0,40, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States
40,10.0,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States
38,7.0,40, Private, 11th, Divorced, Sales, Unmarried, White, Female, United-States
32,10.0,70, Self-emp-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male, Cuba
17,8.0,40,, 12th, Never-married,, Own-child, Other, Female, United-States
19,9.0,20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States
32,9.0,40,, HS-grad, Married-civ-spouse,, Husband, White, Male,
42,9.0,25, Private, HS-grad, Separated, Other-service, Unmarried, White, Female, United-States
